StopID,CleverID,PlaceNumber,StopName,Latitude,Longitude,Served by Routes,Layover or End of Line,Layover_Type,Property Owner,Agreement,Maintained By,Property_Owner,Risk_Level,ExpirationAgreement,Agreement_link,Notes,Potential_Backups,Intersect directly with PRT owned parcel,PAAC/None,Public/Low,Public/Moderate,Others,Estimated Sq. Footage,Addtl. Details,Street view link
E70451,19866,10003,LAWRENCEVILLE SHOPPING CENTER (TERMINAL),40.4829,-79.948,"93, 87",Layover,Off-Street,Private,,PRTs Contractor,Private,Low,,,Long standing agreement,,,0,0,0,1,Large,should be ok,"https://www.google.com/maps/place/40%C2%B035'12.1%22N+80%C2%B001'48.7%22W/@40.5867041,-80.0323887,682m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d40.5867!4d-80.0302"
E70451,19866,10005,LAWRENCEVILLE SHOPPING CENTER (TERMINAL),40.4828932,-79.94799522,"87, 93",,,,,,,,,,,,,0,0,0,1,Large,Private parking lot,"https://www.google.com/maps/@40.5174778,-80.036828,3a,75y,299.49h,94.17t/data=!3m6!1e1!3m4!1s6ewPD_GbV_OT8LM1SrslmA!2e0!7i16384!8i8192"
S70566,12166,00105,LAYOVER - PENN STATE MCKEESPORT - NO STOP,40.3458,-79.8287,56,Layover,Off-Street,,,,Private,Low,,,Supportive management,,,0,0,0,1,Medium,Private parking lot,"https://www.google.com/maps/@40.5278024,-80.0082702,3a,75y,0.13h,88.98t/data=!3m7!1e1!3m5!1stl7O37rskj4_VBL470msig!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Dtl7O37rskj4_VBL470msig%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D267.9342%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"
TP7106,22683,22272,LAYOVER AIRPORT TERMINUS (NO STOP),40.4962,-80.2589,28X,Layover,Street,,,,Private,Moderate,,,Airport won't let us use commercial lot so we have to park on a berm near a parking garage. County Police frown on operators leaving vehicle unattended to use airport bathroom.,,,0,0,0,1,Low,Residential,"https://www.google.com/maps/@40.5130639,-80.1026721,3a,75y,286.66h,90t/data=!3m7!1e1!3m5!1sIlw9u20vCeF1sU82IBHyNg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DIlw9u20vCeF1sU82IBHyNg%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D291.48358%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
E70228,19988,01407,LAYOVER BRUSHTON TERMINAL,40.4499,-79.8917,"69, 71, 71C, 71D, 79, 86",Layover,Off-Street,,,,PAAC,None,,,69 is weekends only,,1,1,0,0,1,Medium,No facilties,"https://www.google.com/maps/@40.5035055,-80.0742963,3a,75y,336.51h,93.92t/data=!3m7!1e1!3m5!1sy2L9g5FIKTpXBA2w7CG1Pg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Dy2L9g5FIKTpXBA2w7CG1Pg%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D15.76747%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
TP1090,20081,01419,LAYOVER EAST LIBERTY TERMINAL (NO STOP),40.4575,-79.9147,"28X, 88",Layover,Off-Street,,,,PAAC,None,,,,,,1,0,0,1,Low,Residential,"https://www.google.com/maps/@40.4088411,-79.991386,3a,75y,280.33h,89.6t/data=!3m7!1e1!3m5!1scMx_hhstVi5wUPh887BvGw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DcMx_hhstVi5wUPh887BvGw%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D349.67792%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
TP7076,20312,01348,LAYOVER PENN PARK TERMINAL - NO STOP,40.4462,-79.9887,"29, 31, 39, 40, 44, 1, 6, 11,  15, 19L, G31",Layover,Off-Street,,,,PAAC,None,,,,,1,1,0,0,0,Large,No streetview available but is on busway,
N24910,19980,00193,LAYOVER VA HOSPITAL TERMINAL (NO STOP),40.4946,-79.8859,91,Layover,Off-Street,,,,Private,Low,,,Supportive management,,,0,0,0,1,Large,Looks good,"https://www.google.com/maps/@40.5923257,-80.2279738,3a,75y,307.41h,85.36t/data=!3m7!1e1!3m5!1slgQdJY5u7-cqeYin-yBlpg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DlgQdJY5u7-cqeYin-yBlpg%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D147.81207%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
TP0460,20441,01423,LAYOVER WALLACE TERMINAL (NO STOP),40.4455,-79.8875,P2,Layover,Off-Street,,,,PAAC,None,,,,,1,1,0,0,0,Large,No streetview available but is on busway,
S48230,20294,01725,LAYOVER WATERFRONT TERMINUS,40.4111,-79.9063,"53, 57, 61D, 64",Layover,Off-Street,,,,Private,Moderate,12/31/2022,https://pauthority.sharepoint.com/sites/PlanningServiceDevelopment-TransitAmenitiesSection/Shared%20Documents/Transit%20Amenities%20Section/Layovers/Agreements/Waterfront.pdf,"Can get complaints. Pre-covid, they wanted us to redo our routings but has not come up again.",,,0,0,0,1,Large,Looks good,"https://www.google.com/maps/@40.4150832,-79.8792489,3a,75y,169.75h,79.16t/data=!3m7!1e1!3m5!1sbL61WhK7LWCSzco_JmB-zQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DbL61WhK7LWCSzco_JmB-zQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D80.67088%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
W70118,20718,22045,LAYOVER WEST BUSWAY TERMINAL,40.4055,-80.0908,G2,Layover,Off-Street,,,,PAAC,None,,,,,1,1,0,0,0,Large,This is East Liberty Garage,"https://www.google.com/maps/@40.4573366,-79.9150139,3a,75y,81.66h,90t/data=!3m7!1e1!3m5!1sZD1KJh3WXTmhHH4kmpDmBA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DZD1KJh3WXTmhHH4kmpDmBA%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D79.09231%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"
TP7010,19872,01415,LAYOVER-EAST BUSWAY SWISSVALE TERMINAL NO STOP,40.415,-79.8795,"P1, P3, P71",Layover,Off-Street,,,,PAAC,None,,,,,1,1,0,0,0,Large,Looks good,"https://www.google.com/maps/@40.4454092,-79.8870616,3a,75y,309.71h,95.68t/data=!3m7!1e1!3m5!1ssBHr-whVRRbLWCfCb6Wwtw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DsBHr-whVRRbLWCfCb6Wwtw%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D307.38583%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"
X09540,6528,00437,LESNETT RD AT BANK ST FS,40.3492,-80.1037,41,Layover,Street,,,,Public,,,,,,,0,0,0,0,Medium,Private parking lot,"https://www.google.com/maps/@40.3679222,-80.1098618,3a,75y,248.2h,102.68t/data=!3m7!1e1!3m5!1s5BbIpc-aIw1gMWyaP8iYKw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D5BbIpc-aIw1gMWyaP8iYKw%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D278.8373%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
S29255,18175,00067,LIBRARY PL AT 1ST ST (Duquesne PNR),40.3718,-79.8443,52L,Layover,Street,,,PRTs Conractor,Public,,,,,,,0,0,0,0,Small,Residential,"https://www.google.com/maps/@40.4860065,-80.0049469,3a,75y,326.63h,82.27t/data=!3m7!1e1!3m5!1slYXn9BIb0A7YUCuUBA1ZYg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DlYXn9BIb0A7YUCuUBA1ZYg%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D70.813416%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
E35850,8812,00838,LINCOLN AVE AT LINCOLN LOOP,40.4731,-79.8882,82,Layover,Off-Street,,,,PAAC,None,,,Not used after dark- safety concerns,,1,1,0,0,0,Small,Residential,"https://www.google.com/maps/@40.4795423,-79.9218706,3a,75y,295.04h,82.71t/data=!3m7!1e1!3m5!1szkU6nwx7PLhne54YD1NBXA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DzkU6nwx7PLhne54YD1NBXA%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D111.490906%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
