StopID,CleverID,PlaceNumber,StopName,Latitude,Longitude,Served by Routes,Layover or End of Line,Layover_Type,Property Owner,Agreement,Maintained By,Property_Owner,Risk_Level,ExpirationAgreement,Agreement_link,Notes,Potential_Backups,Intersect directly with PRT owned parcel,PAAC/None,Public/Low,Public/Moderate,Others,Estimated Sq. Footage,Addtl. Details,Street view link
TP7105,20314,01206,NORTH HILLS VILLAGE TERMINUS,40.5278,-80.0083,2,Layover,Off-Street,,,,Private,Low,,,"Behind Target. Stable location, been laying over there since 1965",,,0,0,0,1,Large,Looks good,"https://www.google.com/maps/@40.3522607,-79.8606956,3a,75y,60.99h,83.94t/data=!3m7!1e1!3m5!1sJ_ayLoLDZ9yGnQp8LE_w2Q!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DJ_ayLoLDZ9yGnQp8LE_w2Q%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D10.050116%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
N40440,3302,00068,OLD FREEPORT RD AT FREEPORT RD (TERM),40.4901,-79.87,"75, 91",Layover,Street,,,,Public,,,,,,,0,0,0,0,Large,No streetview available but is on busway and looks like there is space,
S70109,21255,01899,OLYMPIA SHOPPING CENTER PARK AND RIDE AT SHELTER,40.3224,-79.8348,"60, P76",Layover,Off-Street,,,,Private,Low,,,P76 has limited operation hours,,,0,0,0,1,Small,Looks like there would not be much space to turn around--near busy roads,"https://www.google.com/maps/@40.4479088,-80.0184463,3a,75y,333.83h,93.35t/data=!3m6!1e1!3m4!1sOGvqeekbcMmStMxFPBss4A!2e0!7i16384!8i8192"
S70271,4544,04032,PARSE WAY AT MT LEBANON STATION,40.3823,-80.0435,38,Layover,Off-Street,,,,PAAC,None,,,,,1,1,0,0,0,Large,Looks good,"https://www.google.com/maps/@40.6002741,-79.7573102,3a,75y,84.26h,78.74t/data=!3m6!1e1!3m4!1spZDhMujiyP1IZ10BYb2oKQ!2e0!7i16384!8i8192"
,,,Penn State McKeesport,40.3460944,-79.82843078,,,Off Street,Private,,PRTs Contrctor,,,,,,,,0,0,0,0,Medium,"Decent amount of space, in parking lot","https://www.google.com/maps/@40.4832048,-79.9480373,3a,75y,117.09h,90.48t/data=!3m7!1e1!3m5!1sQ2nqmHukrTgg5bU1GyxhIA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DQ2nqmHukrTgg5bU1GyxhIA%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D11.445036%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
,,,Pittsburgh Technical Institute,,,,,,Private,,PRTs Contrctor,,,,,,,,0,0,0,0,Large,Looks good,"https://www.google.com/maps/@40.4079826,-79.9263672,3a,75y,86.27h,87.74t/data=!3m7!1e1!3m5!1sjE9b4wy1haSjghODEys8Eg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DjE9b4wy1haSjghODEys8Eg%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D55.287724%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
N71283,12750,00200,RIDC PARK TERMINAL,40.5004,-79.8609,91,Layover,Street,,,,Public,,,,Have a designated pulloff spot on Beta Rd,,,0,0,0,0,Medium,Not clear if bus could turn around,"https://www.google.com/maps/@40.3808622,-79.9759232,3a,75y,240.42h,78.49t/data=!3m6!1e1!3m4!1sO5qHm5gKYX0DWNxMgu8aNw!2e0!7i16384!8i8192"
N47075,19825,00641,ROSS GARAGE AT TERMINAL,40.5011,-80.0223,"4, 17",Layover,Off-Street,,,,PAAC,None,,,,,1,1,0,0,0,Large,Good spot,"https://www.google.com/maps/@40.4055527,-80.0911354,3a,75y,89.56h,87.66t/data=!3m7!1e1!3m5!1sKYlNKYVbb04h4l-pWx1-aQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DKYlNKYVbb04h4l-pWx1-aQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D52.06945%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"
S42503,4764,05046,SHJ BUS TURNAROUND SHELTER,40.4211,-80.0061,"43, 48, 54",Layover,Off-Street,,,,PAAC,None,,,,,1,1,0,0,0,Large,Good spot,"https://www.google.com/maps/@40.4477845,-80.0195731,3a,75y,127.52h,91.52t/data=!3m7!1e1!3m5!1sH962lEcEBF_ykMD0i_wcoA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DH962lEcEBF_ykMD0i_wcoA%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D336.73218%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
S43380,10129,00992,SOUTH CAMPUS DRVWY AT LIBRARY ENTRANCE,40.3302,-79.9235,"Y47, Y49",Layover,Off-Street,,,,Private,Low,,,No problems,,,0,0,0,1,Large,Good spot,"https://www.google.com/maps/@40.4477845,-80.0195731,3a,75y,127.52h,91.52t/data=!3m7!1e1!3m5!1sH962lEcEBF_ykMD0i_wcoA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DH962lEcEBF_ykMD0i_wcoA%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D336.73218%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
S70579,21626,00043,SOUTH SIDE WORKS TERMINAL - NO STOP - Sarah at East Carson,40.4247,-79.9619,75,Layover,Street,COP,,PRTs Contractor,Public,Low,,,Residents at the apartments have complained but we have permission from DOMI,,,0,1,0,0,Medium,Probably only enough room for one bus,"https://www.google.com/maps/@40.4959946,-80.2589382,3a,75y,50.71h,91.58t/data=!3m6!1e1!3m4!1sG7inv0WHaBOWuwCS79JHIg!2e0!7i3328!8i1664"
,,,Spring Garden Loop,,,,,Off-Street,,,,,,,,Not currently used by avail if needed,,,0,0,0,0,Medium,Medium size but on hospital parking lot,"https://www.google.com/maps/@40.4290178,-79.7491858,85m/data=!3m1!1e3"
E53500,3118,00180,ST CLAIR ST AT BUNKER HILL APTS,40.4789,-79.9191,"71A, 71B",Layover,Street,,,,Public,Moderate,,,Bathroom issues; community complaints,Could start BRT reroute early,,0,0,1,0,Large,Looks good,"https://www.google.com/maps/@40.4477773,-80.0196914,3a,75y,132.38h,83.31t/data=!3m7!1e1!3m5!1sr0jeyxfAIawfb824JSKGRw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Dr0jeyxfAIawfb824JSKGRw%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D52.913826%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
N70143,20817,22303,TARENTUM PARK AND RIDE (LAYOVER),40.60044906,-79.75679551,1,,,,,,,,,,Intermediate layover established for 2306 due to geofencing issues,,,0,0,0,0,,,
N70143,20817,07175,TARENTUM PARK AND RIDE (TERMINUS),40.6007,-79.7571,1,Layover,Off-Street,PennDOT,,PRTs Contractor,PAAC,None,,,Thsi place is now the end of the outbound trip and the PNR have been given it's own place number,,,1,0,0,0,,,
S01410,11194,00927,THIRD AVE AT RT 51 OVERPASS - ELIZABETH PNR,40.2731,-79.8857,Y46,Layover,Street,,,,Public,,,,,,,0,0,0,0,,,
W70047,15634,00593,UNIVERSITY BLVD PARK AND RIDE AT SHELTER,40.5039,-80.2257,"21, G3",Layover,Off-Street,,,,PAAC,None,,,,,1,1,0,0,0,,,
,,,VA Aspinwall,,,,,,Private,,PRTs Contrctor,,,,,,,,0,0,0,0,,,
TP7061,19687,00419,VILLAGE DR AT STAIRTOWER,40.3397,-80.0548,36,Layover,Off-Street,,,,PAAC,None,,,,,,1,0,0,0,,,
E56040,15851,02114,WALMART AT SHELTER (N VERSAILLES),40.3876,-79.8235,"55, 59",Layover,Off-Street,,,,Private,Low,,,Supportive management,,,0,0,0,1,,,
,,,Walmart North Versailles,,,,,Off Street,Private,,PRTs Contrctor,,,,,,,,0,0,0,0,,,
,,,Waterfront,"40.413391879481786,",79.9065132,,Layover,Off-Street,Private ,Yes,PRTs Contrctor,,,,,,,,0,0,0,0,,,
S70563,21466,02350,WEST MIFFLIN GARAGE TERMINAL - NO STOP,40.362,-79.93,"51, 53L",Layover,Off-Street,,,,PAAC,None,,,,,1,1,0,0,0,,,
N53610,3167,01149,WEST VIEW PLAZA SC AT TERMINUS,40.5175,-80.0369,"8, 13",Layover,Off-Street,Private,,PRTs Contractor,Private,Moderate,,,"Long term layover, but shopping center has been slowly dying",,,0,0,0,1,,,
S48620,4834,00523,WHARTON ST AT S 20TH ST,40.4304,-79.9772,"81, 83",Layover,Street,COP,,PRTs Contractor,Public,,,,,,,0,0,0,0,,,
,,,,,,,,,,,,,,,,,,,26,,,,,,
