,0
4405,"[12934070, 11671070, 2147070, 4280070, 9717070, 5465070, 7108070, 12062070, 613070, 6971070, 10596070, 5929070, 8986070, 2315070, 7272070, 10979070, 1160070, 5044070, 9669010, 2904010, 3606010, 13009010, 6219010, 3896010, 9345010, 3267010, 4519010, 3837010, 5055010, 5281010, 9702080, 696080, 13087080, 10660080, 13170080, 7350080, 4792080, 11216080, 9806080, 3399080, 7514080, 7202080, 11340020, 871020, 9247020, 2803020, 2982020, 4265020, 7578020, 2079020, 7619020, 5045020, 3671020, 2114020]"
16063,"[7800070, 5975070, 5213070, 1966070, 4054070, 11729070, 7521070, 4206070, 4665070, 12976070, 12821070, 8618070, 7686070, 6793070, 1324070, 1725070, 5299070, 2156070, 4872070, 10113070, 1377070, 7563070, 3264070, 13502070, 12806070, 12786070, 5220070, 8728070, 6359070, 2313070, 13411070, 6279070, 7339070, 1368070, 2553070, 379070, 4242070, 1745070, 5909070, 5241070, 12419070, 7544070, 12178070, 6967070, 7231070, 5616070, 3948070, 3825070, 3890070, 13370070, 11829070, 2393070, 1355070, 969070, 4634010, 10145010, 13864010, 1183010, 5163010, 3579010, 6154010, 13185010, 10460010, 455010, 2924010, 14005010, 5982010, 8625010, 2201010, 1271010, 13731010, 4283010, 11479010, 7809010, 14057010, 9069010, 2213010, 9083010, 11612010, 7682010, 2395010, 8373010, 3428010, 8807010, 7182010, 8817010, 771010, 7102010, 13675010, 7408010, 11460010, 5662010, 1848010, 7704010, 12743010, 4059010, 3941080, 5285080, 6084080, 14031080, 6338080, 13116080, 1293080, 12851080, 2858080, 2901080, 2064080, 7712080, 506080, 13140080, 12080, 11526080, 1239080, 13269080, 12033080, 11421080, 3908080, 4722080, 131080, 3001080, 10659080, 12667080, 9529080, 11779080, 3004080, 3299080, 2146080, 4040080, 7789080, 8495080, 4050080, 4633080, 11769080, 3790080, 6422080, 35080, 9135080, 8249080, 5959020, 13221020, 3443020, 10454020, 9746020, 12028020, 1828020, 4322020, 3065020, 5762020, 4787020, 1557020, 12576020, 6982020, 598020, 452020, 7392020, 8717020, 3020, 12456020, 9255020, 2655020, 2085020, 1996020, 12388020, 12828020, 68020, 5438020, 2369020, 4367020, 12859020, 9676020, 9464020, 11908020, 10025020, 13887020, 908020, 4187020, 1568020, 1906020, 7849020, 8276020, 7779020, 5492020, 11930020, 5597020, 1275020, 12219020, 5072020, 7545020, 5879020, 4205020, 5126020, 10684020, 11914020, 1802020, 11232020, 6236020, 2140020, 11423020, 5093020, 8993020, 638020, 7889020, 5385020, 5849020, 7074020]"
22873,"[1493070, 12009070, 5030070, 8687070, 1914070, 8210070, 1118070, 2077070, 8682070, 8791070, 9571070, 7376070, 5846070, 2992070, 4387010, 3627010, 397010, 758010, 2015010, 3324010, 5638010, 4260010, 12244010, 7250010, 578010, 4375010, 2883010, 1850010, 1586080, 8710080, 4395080, 4303080, 6899080, 2183080, 10419080, 1401080, 4365080, 2529080, 4074080, 2909080, 1628080, 353080, 4123020, 1385020, 5426020, 5877020, 4293020, 9414020, 13962020, 11343020, 3727020, 2051020, 7333020, 10248020, 1128020, 10114020, 1590020, 1009020, 6675020]"
19687,"[14019070, 8227070, 10664070]"
15276,"[10669070, 216070, 1335070, 9111070, 7763070, 7677070, 8344070, 8723070, 3078070, 1235070, 12416070, 6833070, 14058070, 9643070, 9628070, 8060070]"
22326,"[11662020, 2591020, 3856020, 7650020, 5766020, 5404020, 5865020, 4087020]"
