,trip_id,block_id,route_id,trip_headsign,trip_start_time,service_id_start,start_stop,start_stop_id,trip_end_time,number_total_stops,total_distance_traveled,service_id_end,end_stop,end_stop_id,trip_start_datetime,trip_end_datetime,timeDelta,timeDelta_minutes,timeDelta_hours
20,10797070,183315907.0,86,INBOUND-DOWNTOWN,06:39:00,3,EAST BUSWAY + WILKINSBURG STATION B,16111,07:15:00,75,8.806709582810345,3,7TH ST + PENN AVE,20182,2023-01-01 06:39:00,2023-01-01 07:15:00,0 days 00:36:00,36.0,0.6
21,5775070,183315907.0,86,OUTBOUND-WILKINSBURG,07:15:00,3,7TH ST + PENN AVE,20182,07:54:00,72,8.57752246262443,3,EAST BUSWAY + WILKINSBURG STATION D,16118,2023-01-01 07:15:00,2023-01-01 07:54:00,0 days 00:39:00,39.0,0.65
22,14015070,183316007.0,71C,INBOUND-DOWNTOWN,07:13:00,3,EAST BUSWAY + WILKINSBURG STATION B,16111,07:56:00,72,8.85656231747176,3,FIFTH AVE + WOOD ST,20856,2023-01-01 07:13:00,2023-01-01 07:56:00,0 days 00:43:00,43.0,0.7166666666666667
23,5509070,183316007.0,71C,OUTBOUND-POINT BREEZE VIA OAKLAND,07:56:00,3,FIFTH AVE + WOOD ST,20856,08:33:00,68,7.991499620962632,3,EAST BUSWAY + WILKINSBURG STATION D,16118,2023-01-01 07:56:00,2023-01-01 08:33:00,0 days 00:37:00,37.0,0.6166666666666667
24,4563070,183316007.0,86,INBOUND-DOWNTOWN,08:58:00,3,EAST BUSWAY + WILKINSBURG STATION B,16111,09:45:00,75,8.806709582810345,3,7TH ST + PENN AVE,20182,2023-01-01 08:58:00,2023-01-01 09:45:00,0 days 00:47:00,47.0,0.7833333333333333
25,4212070,183316007.0,86,OUTBOUND-WILKINSBURG,09:45:00,3,7TH ST + PENN AVE,20182,10:35:00,72,8.57752246262443,3,EAST BUSWAY + WILKINSBURG STATION D,16118,2023-01-01 09:45:00,2023-01-01 10:35:00,0 days 00:50:00,50.0,0.8333333333333334
26,1894070,183316007.0,86,INBOUND-DOWNTOWN,10:58:00,3,EAST BUSWAY + WILKINSBURG STATION B,16111,11:45:00,75,8.806709582810345,3,7TH ST + PENN AVE,20182,2023-01-01 10:58:00,2023-01-01 11:45:00,0 days 00:47:00,47.0,0.7833333333333333
27,10292070,183316007.0,86,OUTBOUND-WILKINSBURG,11:45:00,3,7TH ST + PENN AVE,20182,12:35:00,72,8.57752246262443,3,EAST BUSWAY + WILKINSBURG STATION D,16118,2023-01-01 11:45:00,2023-01-01 12:35:00,0 days 00:50:00,50.0,0.8333333333333334
28,8936070,183316107.0,71A,INBOUND-DOWNTOWN,05:07:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,05:41:00,60,6.64816011532678,3,FIFTH AVE + WOOD ST,20856,2023-01-01 05:07:00,2023-01-01 05:41:00,0 days 00:34:00,34.0,0.5666666666666667
29,1956070,183316107.0,71A,OUTBOUND-NEGLEY VIA OAKLAND,05:41:00,3,FIFTH AVE + WOOD ST,20856,06:11:00,61,6.447270309567898,3,ST CLAIR ST + BUNKER HILL APTS,3118,2023-01-01 05:41:00,2023-01-01 06:11:00,0 days 00:30:00,30.0,0.5
30,8138070,183316107.0,71B,INBOUND-DOWNTOWN,06:30:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,07:03:00,60,6.8277865460375065,3,FIFTH AVE + WOOD ST,20856,2023-01-01 06:30:00,2023-01-01 07:03:00,0 days 00:33:00,33.0,0.55
31,6420070,183316107.0,71B,OUTBOUND-HIGHLAND PARK,07:03:00,3,FIFTH AVE + WOOD ST,20856,07:40:00,59,6.455453788509576,3,BUNKERHILL ST + ST CLAIR NS,3283,2023-01-01 07:03:00,2023-01-01 07:40:00,0 days 00:37:00,37.0,0.6166666666666667
32,5655070,183316207.0,28X,OUTBOUND-PITTSBURGH INTL AIRPORT,04:47:00,3,FIFTH AVE + MCPHERSON FS,8308,05:43:00,40,27.660500577876647,3,PGH AIRPORT UPPER LEVEL (DEPARTURES),22827,2023-01-01 04:47:00,2023-01-01 05:43:00,0 days 00:56:00,56.0,0.9333333333333332
33,12934070,183316207.0,28X,INBOUND-DOWNTOWN,06:00:00,3,PGH INTERNL AIRPORT LOWER LEVEL (DOOR2),4405,07:00:00,41,27.530782805373633,3,EAST LIBERTY DRWY + FIFTH FS,16029,2023-01-01 06:00:00,2023-01-01 07:00:00,0 days 01:00:00,60.0,1.0
