route_id,total_distance_traveled,trip_headsign
61C,15.560148880907702,INBOUND-PITTSBURGH VIA OAKLAND
61D,9.02291001280028,OUTBOUND-WATERFRONT VIA OAKLAND-SQ HILL
61D,10.115830091838893,INBOUND-DOWNTOWN
64,8.853225545875949,OUTBOUND-WATERFRONT
64,9.330806417537625,INBOUND-SHADYSIDE
65,7.2775423465520035,INBOUND-DOWNTOWN
65,5.686939987821094,OUTBOUND-SQUIRREL HILL
65,0.5167584227074453,INBOUND-SQUIRREL HILL
67,8.73391576671182,OUTBOUND-BEACON HILL
67,14.233592652888762,OUTBOUND-MONROEVILLE MALL VIA OAKLAND
67,8.940801819379374,INBOUND-DOWNTOWN
67,19.913964730883468,OUTBOUND-CCAC BOYCE
69,11.051213540954675,OUTBOUND-WILKINSBURG
69,12.38097605229473,INBOUND-WILKINSBURG
69,23.562292616849145,OUTBOUND-TRAFFORD - FORBES HOSPITAL
7,6.291691003765519,OUTBOUND-SUMMER HILL
7,5.211279157915667,INBOUND-DOWNTOWN
71,6.863043235115016,OUTBOUND-HERITAGE HGHLANDS
71,6.56574123553755,INBOUND-WILKINSBURG
71A,6.64816011532678,INBOUND-DOWNTOWN
71A,6.447270309567898,OUTBOUND-NEGLEY VIA OAKLAND
71B,6.8277865460375065,INBOUND-DOWNTOWN
71B,6.455453788509576,OUTBOUND-HIGHLAND PARK
71C,7.991499620962632,OUTBOUND-POINT BREEZE VIA OAKLAND
71C,8.85656231747176,INBOUND-DOWNTOWN
71D,8.092435408304025,INBOUND-DOWNTOWN VIA OAKLAND
71D,7.494364149278586,OUTBOUND-HAMILTON VIA OAKLAND-SHADYSIDE-5TH AV
74,8.498881529074032,INBOUND-HOMEWOOD
74,8.31857158835299,OUTBOUND-HOMEWOOD
74,9.54207314799856,INBOUND-DOWNTOWN
75,4.466265674127282,OUTBOUND-BAKERY SQUARE
75,7.8381075471932595,OUTBOUND-MORNINGSIDE
75,11.221469670796724,OUTBOUND-MORNINGSIDE-WATERWORKS
75,8.036859830738068,INBOUND-SOUTH SIDE WORKS
77,20.24238507711236,OUTBOUND-CCAC BOYCE
77,14.379074651720584,OUTBOUND-ALCOMA
77,14.399213342115402,INBOUND-DOWNTOWN
79,8.486665341071495,OUTBOUND-WILKINSBURG STATION
79,8.818018566617372,INBOUND-LINCOLN PARK
79,4.247778592466477,INBOUND-GIANT EAGLE
8,8.031286117290318,OUTBOUND-WEST VIEW
8,7.920253022978364,INBOUND-DOWNTOWN
81,5.567251171287609,OUTBOUND-WHARTON SQUARE
81,7.349254974088757,INBOUND-DOWNTOWN
82,7.40932929026806,OUTBOUND-LINCOLN
82,7.317490399791219,INBOUND-DOWNTOWN
83,6.707084891943281,OUTBOUND-WHARTON SQ VIA OAKLAND
83,8.464308350006837,INBOUND-DOWNTOWN
86,8.57752246262443,OUTBOUND-WILKINSBURG
86,8.806709582810345,INBOUND-DOWNTOWN
87,8.10137074825705,INBOUND-DOWNTOWN
87,7.858612847502703,OUTBOUND-FRIENDSHIP-STANTON HEIGHTS
87,8.451390010811886,OUTBOUND-MORNINGSIDE-SHOP-N-SAVE
88,5.742708190935415,OUTBOUND-BAKERY SQUARE
88,5.870940882597836,INBOUND-DOWNTOWN
89,3.442355251220998,OUTBOUND-GARFIELD COMMONS
89,3.3849279828998227,INBOUND-BEATTY/PENN
91,10.238532566145128,OUTBOUND-VA HOSPITAL
91,10.86067580498838,OUTBOUND-BUTLER ST- RIDC
91,9.407222836690815,OUTBOUND-DOWNTOWN
91,10.337119564541986,INBOUND-DOWNTOWN
93,10.583108603526911,OUTBOUND-LAWRENCEVILLE
93,10.615320566194836,INBOUND-GLEN HAZEL
G2,8.05002050530031,OUTBOUND-CARNEGIE
G2,7.5033989088694755,INBOUND-DOWNTOWN
G3,18.757291809064583,OUTBOUND-MOON FLYER VIA CHERRINGTON
G3,17.85443100898505,INBOUND-DOWNTOWN
G3,18.249717275404823,OUTBOUND-MOON FLYER
G3,18.5369468229212,INBOUND-MOON FLYER VIA CHERRINGTON
G31,11.781196018243504,INBOUND-DOWNTOWN
G31,11.719127095579555,OUTBOUND-BRIDGEVILLE FLYER TO SOUTH FAYETTE PARK-AND-RIDE
O1,7.0214622143238845,OUTBOUND-ROSS PARK AND RIDE
O1,6.769259447972462,INBOUND-DOWNTOWN
O12,12.224651099208373,OUTBOUND-MCCANDLESS PARK AND RIDE
O12,14.051269464500976,INBOUND-DOWNTOWN
O12,13.909521915816423,OUTBOUND-MCKNIGHT
O5,17.27244087638411,INBOUND-DOWNTOWN
O5,16.11787440814247,OUTBOUND-THOMPSON RUN- NORTH PARK
P1,9.600320628332112,OUTBOUND-SWISSVALE
P1,8.988131780729988,INBOUND-DOWNTOWN
P10,12.838380951197388,OUTBOUND-RIDC PARK - O'HARA
P10,29.921477127269565,OUTBOUND-O'HARA
P10,31.71642412417513,INBOUND-DOWNTOWN
P12,20.50699665701468,OUTBOUND-HOLIDAY PARK FLYER VIA BEACON HILL
