trip,stop,location,time
12934070,4405,TP7106,1.533333333
11671070,4405,TP7106,1.533333333
2147070,4405,TP7106,1.533333333
4280070,4405,TP7106,1.533333333
9717070,4405,TP7106,1.533333333
5465070,4405,TP7106,1.533333333
7108070,4405,TP7106,1.533333333
12062070,4405,TP7106,1.533333333
613070,4405,TP7106,1.533333333
6971070,4405,TP7106,1.533333333
10596070,4405,TP7106,1.533333333
5929070,4405,TP7106,1.533333333
8986070,4405,TP7106,1.533333333
2315070,4405,TP7106,1.533333333
7272070,4405,TP7106,1.533333333
10979070,4405,TP7106,1.533333333
1160070,4405,TP7106,1.533333333
5044070,4405,TP7106,1.533333333
9669010,4405,TP7106,1.533333333
2904010,4405,TP7106,1.533333333
3606010,4405,TP7106,1.533333333
13009010,4405,TP7106,1.533333333
6219010,4405,TP7106,1.533333333
3896010,4405,TP7106,1.533333333
9345010,4405,TP7106,1.533333333
3267010,4405,TP7106,1.533333333
4519010,4405,TP7106,1.533333333
3837010,4405,TP7106,1.533333333
5055010,4405,TP7106,1.533333333
5281010,4405,TP7106,1.533333333
9702080,4405,TP7106,1.533333333
696080,4405,TP7106,1.533333333
13087080,4405,TP7106,1.533333333
10660080,4405,TP7106,1.533333333
13170080,4405,TP7106,1.533333333
7350080,4405,TP7106,1.533333333
4792080,4405,TP7106,1.533333333
11216080,4405,TP7106,1.533333333
9806080,4405,TP7106,1.533333333
3399080,4405,TP7106,1.533333333
7514080,4405,TP7106,1.533333333
7202080,4405,TP7106,1.533333333
11340020,4405,TP7106,1.533333333
871020,4405,TP7106,1.533333333
9247020,4405,TP7106,1.533333333
2803020,4405,TP7106,1.533333333
2982020,4405,TP7106,1.533333333
4265020,4405,TP7106,1.533333333
7578020,4405,TP7106,1.533333333
2079020,4405,TP7106,1.533333333
7619020,4405,TP7106,1.533333333
5045020,4405,TP7106,1.533333333
3671020,4405,TP7106,1.533333333
2114020,4405,TP7106,1.533333333
7906070,8308,TP7010,14.36666667
11698070,8308,TP7010,14.36666667
8893070,8308,TP7010,14.36666667
7707070,8308,TP7010,14.36666667
5179070,8308,TP7010,14.36666667
4015070,8308,TP7010,14.36666667
7834070,8308,TP7010,14.36666667
6738070,8308,TP7010,14.36666667
5626070,8308,TP7010,14.36666667
10092010,8308,TP7010,14.36666667
1615010,8308,TP7010,14.36666667
10173010,8308,TP7010,14.36666667
6134010,8308,TP7010,14.36666667
13733010,8308,TP7010,14.36666667
13702010,8308,TP7010,14.36666667
2470080,8308,TP7010,14.36666667
8600080,8308,TP7010,14.36666667
6516080,8308,TP7010,14.36666667
7512080,8308,TP7010,14.36666667
4309080,8308,TP7010,14.36666667
6973080,8308,TP7010,14.36666667
