index,4405,8308,16063,22873,16111,8812,19687,15276,22326,3302,21624,1407
4405,0,60,60,60,60,60,60,60,60,60,60,60
8308,60,0,60,60,60,60,60,60,60,60,60,60
16063,60,60,0,60,60,60,60,60,60,60,60,60
22873,60,60,60,0,60,60,60,60,60,60,60,60
16111,60,60,60,60,0,60,60,60,60,60,60,60
8812,60,60,60,60,60,0,60,60,60,60,60,60
19687,60,60,60,60,60,60,0,60,60,60,60,60
15276,60,60,60,60,60,60,60,0,60,60,60,60
22326,60,60,60,60,60,60,60,60,0,60,60,60
3302,60,60,60,60,60,60,60,60,60,0,60,60
21624,60,60,60,60,60,60,60,60,60,60,0,60
1407,60,60,60,60,60,60,60,60,60,60,60,0
