stop_id,last_end_id,charger,num_blocks,routes,# needed
22899,17791,[0. 0. 0. ... 0. 0. 0.],54,"['61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C', '61C']",4.0
12565,7357,[0. 0. 0. ... 0. 0. 0.],19,"['61A', '61A', '61A', '61A', '61A', '61A', '61A', '61A', '61A', '61A', '61A', '61A', '61A', '61A', '61B', '61B', '61A', '61A', '61A']",2.0
16063,16063,[0. 0. 0. ... 0. 0. 0.],7,"['P3', 'P3', 'P3', 'P3', 'P3', 'P3', 'P3', 'P3', 'P3', 'P3', 'P3', 'P3', 'P3', 'P3', 'P3', 'P3']",3.0
