trip_id,Unnamed: 0,block_id,route_id,trip_headsign,trip_start_time,service_id_start,start_stop,start_stop_id,trip_end_time,number_total_stops,total_distance_traveled,service_id_end,end_stop,end_stop_id,trip_start_datetime,trip_end_datetime,timeDelta,timeDelta_minutes,timeDelta_hours
41070,529,183325407,71B,INBOUND-DOWNTOWN,10:51:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,11:33:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 10:51,1/1/2023 11:33,0 days 00:42:00,42.0,0.7
7634070,530,183325407,71B,OUTBOUND-HIGHLAND PARK,11:33:00,3,FIFTH AVE + WOOD ST,20856,12:13:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 11:33,1/1/2023 12:13,0 days 00:40:00,40.0,0.666666667
11277070,608,183327907,71B,INBOUND-DOWNTOWN,14:51:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,15:33:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 14:51,1/1/2023 15:33,0 days 00:42:00,42.0,0.7
9881070,609,183327907,71B,OUTBOUND-HIGHLAND PARK,15:33:00,3,FIFTH AVE + WOOD ST,20856,16:13:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 15:33,1/1/2023 16:13,0 days 00:40:00,40.0,0.666666667
7480070,612,183328107,71B,INBOUND-DOWNTOWN,16:49:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,17:31:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 16:49,1/1/2023 17:31,0 days 00:42:00,42.0,0.7
9944070,613,183328107,71B,OUTBOUND-HIGHLAND PARK,17:31:00,3,FIFTH AVE + WOOD ST,20856,18:11:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 17:31,1/1/2023 18:11,0 days 00:40:00,40.0,0.666666667
9483070,614,183328107,71B,INBOUND-DOWNTOWN,18:25:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,19:03:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 18:25,1/1/2023 19:03,0 days 00:38:00,38.0,0.633333333
1500070,615,183328107,71B,OUTBOUND-HIGHLAND PARK,19:03:00,3,FIFTH AVE + WOOD ST,20856,19:39:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 19:03,1/1/2023 19:39,0 days 00:36:00,36.0,0.6
11934070,616,183328107,71B,INBOUND-DOWNTOWN,19:55:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,20:33:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 19:55,1/1/2023 20:33,0 days 00:38:00,38.0,0.633333333
8029070,617,183328107,71B,OUTBOUND-HIGHLAND PARK,20:33:00,3,FIFTH AVE + WOOD ST,20856,21:09:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 20:33,1/1/2023 21:09,0 days 00:36:00,36.0,0.6
