,trip_id,Unnamed: 0,block_id,route_id,trip_headsign,trip_start_time,service_id_start,start_stop,start_stop_id,trip_end_time,number_total_stops,total_distance_traveled,service_id_end,end_stop,end_stop_id,trip_start_datetime,trip_end_datetime,timeDelta,timeDelta_minutes,timeDelta_hours
660,5264070,4838,183470907,61C,INBOUND-PITTSBURGH VIA OAKLAND,16:31:00,3,MCKEESPORT TRANSPORTATION CENTER AT BAY #4,22899,17:45:00,85,15.56014888,3,FIFTH AVE + WOOD ST,20856,1/1/2023 16:31,1/1/2023 17:45,0 days 01:14:00,74.0,1.233333333
661,10996070,4839,183470907,61C,OUTBOUND-MCKEESPORT HOMESTEAD VIA OAKLAND-SQ HILL-MURRAY AV,17:45:00,3,FIFTH AVE + WOOD ST,20856,18:47:00,81,14.39115414,3,MCKSPT TRANSPORTATION CTR + BAY #2,17791,1/1/2023 17:45,1/1/2023 18:47,0 days 01:02:00,62.0,1.033333333
662,13271070,4840,183470907,61C,INBOUND-PITTSBURGH VIA OAKLAND,19:02:00,3,MCKEESPORT TRANSPORTATION CENTER AT BAY #4,22899,20:07:00,85,15.56014888,3,FIFTH AVE + WOOD ST,20856,1/1/2023 19:02,1/1/2023 20:07,0 days 01:05:00,65.0,1.083333333
663,9876070,4841,183470907,61C,OUTBOUND-MCKEESPORT HOMESTEAD VIA OAKLAND-SQ HILL-MURRAY AV,20:07:00,3,FIFTH AVE + WOOD ST,20856,21:05:00,81,14.39115414,3,MCKSPT TRANSPORTATION CTR + BAY #2,17791,1/1/2023 20:07,1/1/2023 21:05,0 days 00:58:00,58.0,0.966666667
668,2917070,4848,183471407,61A,INBOUND-DOWNTOWN VIA OAKLAND,17:22:00,3,BRADDOCK HILLS S C + STOREFRONT,12565,18:30:00,98,14.3126002,3,FIFTH AVE + WOOD ST,20856,1/1/2023 17:22,1/1/2023 18:30,0 days 01:08:00,68.0,1.133333333
669,6836070,4849,183471407,61A,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,18:30:00,3,FIFTH AVE + WOOD ST,20856,19:44:00,90,13.94525706,3,BRADDOCK HILLS SC + GIANT EAGLE,7357,1/1/2023 18:30,1/1/2023 19:44,0 days 01:14:00,74.0,1.233333333
670,1612070,4850,183471407,61B,INBOUND-DOWNTOWN,20:02:00,3,BRADDOCK HILLS S C + STOREFRONT,12565,21:00:00,74,12.54858513,3,FIFTH AVE + WOOD ST,20856,1/1/2023 20:02,1/1/2023 21:00,0 days 00:58:00,58.0,0.966666667
671,13092070,4851,183471407,61B,OUTBOUND-BRADDOCK-SWISSVALE,21:00:00,3,FIFTH AVE + WOOD ST,20856,21:55:00,70,12.04171897,3,BRADDOCK HILLS SC + GIANT EAGLE,7357,1/1/2023 21:00,1/1/2023 21:55,0 days 00:55:00,55.0,0.916666667
692,6250070,4888,183472907,61A,INBOUND-DOWNTOWN VIA OAKLAND,15:22:00,3,BRADDOCK HILLS S C + STOREFRONT,12565,16:30:00,98,14.3126002,3,FIFTH AVE + WOOD ST,20856,1/1/2023 15:22,1/1/2023 16:30,0 days 01:08:00,68.0,1.133333333
693,12432070,4889,183472907,61A,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,16:30:00,3,FIFTH AVE + WOOD ST,20856,17:44:00,90,13.94525706,3,BRADDOCK HILLS SC + GIANT EAGLE,7357,1/1/2023 16:30,1/1/2023 17:44,0 days 01:14:00,74.0,1.233333333
