trip,stop,location,time
3941080,16063,16063,0
5285080,16063,16063,0
6084080,16063,16063,0
14031080,16063,16063,0
6338080,16063,16063,0
13116080,16063,16063,0
1293080,16063,16063,0
12851080,16063,16063,0
2858080,16063,16063,0
2901080,16063,16063,0
2064080,16063,16063,0
7712080,16063,16063,0
506080,16063,16063,0
13140080,16063,16063,0
12080,16063,16063,0
11526080,16063,16063,0
1239080,16063,16063,0
13269080,16063,16063,0
12033080,16063,16063,0
11421080,16063,16063,0
3908080,16063,16063,0
4722080,16063,16063,0
131080,16063,16063,0
3001080,16063,16063,0
10659080,16063,16063,0
12667080,16063,16063,0
9529080,16063,16063,0
11779080,16063,16063,0
3004080,16063,16063,0
3299080,16063,16063,0
2146080,16063,16063,0
4040080,16063,16063,0
7789080,16063,16063,0
8495080,16063,16063,0
4050080,16063,16063,0
4633080,16063,16063,0
11769080,16063,16063,0
3790080,16063,16063,0
6422080,16063,16063,0
35080,16063,16063,0
9135080,16063,16063,0
8249080,16063,16063,0
5959020,16063,16063,0
13221020,16063,16063,0
3443020,16063,16063,0
10454020,16063,16063,0
9746020,16063,16063,0
12028020,16063,16063,0
1828020,16063,16063,0
4322020,16063,16063,0
3065020,16063,16063,0
5762020,16063,16063,0
4787020,16063,16063,0
1557020,16063,16063,0
12576020,16063,16063,0
6982020,16063,16063,0
598020,16063,16063,0
452020,16063,16063,0
7392020,16063,16063,0
8717020,16063,16063,0
3020,16063,16063,0
12456020,16063,16063,0
9255020,16063,16063,0
2655020,16063,16063,0
2085020,16063,16063,0
1996020,16063,16063,0
12388020,16063,16063,0
12828020,16063,16063,0
68020,16063,16063,0
5438020,16063,16063,0
2369020,16063,16063,0
4367020,16063,16063,0
12859020,16063,16063,0
9676020,16063,16063,0
9464020,16063,16063,0
11908020,16063,16063,0
10025020,16063,16063,0
13887020,16063,16063,0
908020,16063,16063,0
4187020,16063,16063,0
1568020,16063,16063,0
1906020,16063,16063,0
7849020,16063,16063,0
8276020,16063,16063,0
7779020,16063,16063,0
5492020,16063,16063,0
11930020,16063,16063,0
5597020,16063,16063,0
1275020,16063,16063,0
12219020,16063,16063,0
5072020,16063,16063,0
7545020,16063,16063,0
5879020,16063,16063,0
4205020,16063,16063,0
5126020,16063,16063,0
10684020,16063,16063,0
11914020,16063,16063,0
1802020,16063,16063,0
11232020,16063,16063,0
6236020,16063,16063,0
2140020,16063,16063,0
11423020,16063,16063,0
5093020,16063,16063,0
8993020,16063,16063,0
638020,16063,16063,0
7889020,16063,16063,0
5385020,16063,16063,0
5849020,16063,16063,0
7074020,16063,16063,0
1493070,22873,22873,0
12009070,22873,22873,0
5030070,22873,22873,0
8687070,22873,22873,0
1914070,22873,22873,0
8210070,22873,22873,0
1118070,22873,22873,0
2077070,22873,22873,0
8682070,22873,22873,0
8791070,22873,22873,0
9571070,22873,22873,0
7376070,22873,22873,0
5846070,22873,22873,0
2992070,22873,22873,0
4387010,22873,22873,0
3627010,22873,22873,0
397010,22873,22873,0
758010,22873,22873,0
2015010,22873,22873,0
3324010,22873,22873,0
5638010,22873,22873,0
4260010,22873,22873,0
12244010,22873,22873,0
7250010,22873,22873,0
578010,22873,22873,0
4375010,22873,22873,0
2883010,22873,22873,0
1850010,22873,22873,0
1586080,22873,22873,0
8710080,22873,22873,0
4395080,22873,22873,0
4303080,22873,22873,0
6899080,22873,22873,0
2183080,22873,22873,0
10419080,22873,22873,0
1401080,22873,22873,0
4365080,22873,22873,0
2529080,22873,22873,0
4074080,22873,22873,0
2909080,22873,22873,0
1628080,22873,22873,0
353080,22873,22873,0
4123020,22873,22873,0
1385020,22873,22873,0
5426020,22873,22873,0
5877020,22873,22873,0
4293020,22873,22873,0
9414020,22873,22873,0
13962020,22873,22873,0
11343020,22873,22873,0
3727020,22873,22873,0
2051020,22873,22873,0
7333020,22873,22873,0
10248020,22873,22873,0
1128020,22873,22873,0
10114020,22873,22873,0
1590020,22873,22873,0
1009020,22873,22873,0
6675020,22873,22873,0
9383070,16111,16111,0
600070,8812,8812,0
14019070,19687,19687,0
8227070,19687,19687,0
10664070,19687,19687,0
10669070,15276,15276,0
216070,15276,15276,0
1335070,15276,15276,0
9111070,15276,15276,0
7763070,15276,15276,0
7677070,15276,15276,0
8344070,15276,15276,0
8723070,15276,15276,0
3078070,15276,15276,0
1235070,15276,15276,0
12416070,15276,15276,0
6833070,15276,15276,0
14058070,15276,15276,0
9643070,15276,15276,0
9628070,15276,15276,0
8060070,15276,15276,0
11662020,22326,22326,0
2591020,22326,22326,0
3856020,22326,22326,0
7650020,22326,22326,0
5766020,22326,22326,0
5404020,22326,22326,0
5865020,22326,22326,0
4087020,22326,22326,0
9832020,3302,3302,0
4960020,3302,3302,0
7219020,21624,21624,0
11618020,21624,21624,0
1489020,1407,1407,0
5076020,1407,1407,0
