,trip_id,block_id,route_id,trip_headsign,trip_start_time,trip_end_time,start_stop_id,end_stop_id,start_stop_name,start_stop_lat,start_stop_lon,end_stop_name,end_stop_lat,end_stop_lon
34,7906070,183316207.0,28X,OUTBOUND-PITTSBURGH INTL AIRPORT,07:17:00,08:13:00,8308,22827,FIFTH AVE + MCPHERSON FS,40.455505,-79.910881,PGH AIRPORT UPPER LEVEL (DEPARTURES),40.495329,-80.25578
35,11671070,183316207.0,28X,INBOUND-DOWNTOWN,08:30:00,09:30:00,4405,16029,PGH INTERNL AIRPORT LOWER LEVEL (DOOR2),40.496349,-80.255754,EAST LIBERTY DRWY + FIFTH FS,40.456011,-79.910856
36,8151070,183316307.0,71C,INBOUND-DOWNTOWN,12:04:00,12:56:00,16111,20856,EAST BUSWAY + WILKINSBURG STATION B,40.446781,-79.888757,FIFTH AVE + WOOD ST,40.440792,-80.000658
37,7464070,183316307.0,71C,OUTBOUND-POINT BREEZE VIA OAKLAND,12:56:00,13:45:00,20856,16118,FIFTH AVE + WOOD ST,40.440792,-80.000658,EAST BUSWAY + WILKINSBURG STATION D,40.44663,-79.888475
38,3605070,183316307.0,71C,INBOUND-DOWNTOWN,14:04:00,14:56:00,16111,20856,EAST BUSWAY + WILKINSBURG STATION B,40.446781,-79.888757,FIFTH AVE + WOOD ST,40.440792,-80.000658
39,7323070,183316307.0,71C,OUTBOUND-POINT BREEZE VIA OAKLAND,14:56:00,15:45:00,20856,16118,FIFTH AVE + WOOD ST,40.440792,-80.000658,EAST BUSWAY + WILKINSBURG STATION D,40.44663,-79.888475
40,9136070,183316407.0,71C,INBOUND-DOWNTOWN,10:08:00,10:56:00,16111,20856,EAST BUSWAY + WILKINSBURG STATION B,40.446781,-79.888757,FIFTH AVE + WOOD ST,40.440792,-80.000658
41,12636070,183316407.0,71C,OUTBOUND-POINT BREEZE VIA OAKLAND,10:56:00,11:41:00,20856,16118,FIFTH AVE + WOOD ST,40.440792,-80.000658,EAST BUSWAY + WILKINSBURG STATION D,40.44663,-79.888475
42,3636070,183316407.0,71D,INBOUND-DOWNTOWN VIA OAKLAND,12:02:00,12:48:00,16111,20856,EAST BUSWAY + WILKINSBURG STATION B,40.446781,-79.888757,FIFTH AVE + WOOD ST,40.440792,-80.000658
43,12117070,183316407.0,71D,OUTBOUND-HAMILTON VIA OAKLAND-SHADYSIDE-5TH AV,12:48:00,13:32:00,20856,16118,FIFTH AVE + WOOD ST,40.440792,-80.000658,EAST BUSWAY + WILKINSBURG STATION D,40.44663,-79.888475
44,6887070,183316507.0,71C,INBOUND-DOWNTOWN,21:08:00,21:56:00,16111,20856,EAST BUSWAY + WILKINSBURG STATION B,40.446781,-79.888757,FIFTH AVE + WOOD ST,40.440792,-80.000658
45,12590070,183316507.0,71C,OUTBOUND-POINT BREEZE VIA OAKLAND,21:56:00,22:39:00,20856,16118,FIFTH AVE + WOOD ST,40.440792,-80.000658,EAST BUSWAY + WILKINSBURG STATION D,40.44663,-79.888475
46,2499070,183316507.0,86,INBOUND-DOWNTOWN,23:08:00,23:45:00,16111,20182,EAST BUSWAY + WILKINSBURG STATION B,40.446781,-79.888757,7TH ST + PENN AVE,40.443323,-80.000347
47,9430070,183316507.0,86,OUTBOUND-WILKINSBURG,23:45:00,24:22:00,20182,16118,7TH ST + PENN AVE,40.443323,-80.000347,EAST BUSWAY + WILKINSBURG STATION D,40.44663,-79.888475
48,9197070,183316607.0,71A,INBOUND-DOWNTOWN,04:37:00,05:11:00,3118,20856,ST CLAIR ST + BUNKER HILL APTS,40.478918,-79.919091,FIFTH AVE + WOOD ST,40.440792,-80.000658
49,8407070,183316607.0,71A,OUTBOUND-NEGLEY VIA OAKLAND,05:11:00,05:41:00,20856,3118,FIFTH AVE + WOOD ST,40.440792,-80.000658,ST CLAIR ST + BUNKER HILL APTS,40.478918,-79.919091
50,7440070,183316607.0,71B,INBOUND-DOWNTOWN,06:00:00,06:33:00,3118,20856,ST CLAIR ST + BUNKER HILL APTS,40.478918,-79.919091,FIFTH AVE + WOOD ST,40.440792,-80.000658
