Date,Start SOC,End SOC,Duration,Distance,Seasonality,Electric_use
27-Jan,90,58,3:22:02,35,1,32
27-Jan,86,35,5:39:45,74,1,51
28-Jan,90,67,2:51:53,35,1,23
28-Jan,88,39,5:28:41,75,1,49
31-Jan,90,51,3:57:13,65,1,39
31-Jan,88,75,2:27:45,22,1,13
2-Feb,92,79.6,2:26:45,20,1,12.4
2-Feb,79.6,64,1:39:30,37,1,15.6
2-Feb,62.8,48.8,1:08:21,27,1,14
2-Feb,48.8,34.4,1:07:21,30,1,14.4
2-Feb,34.4,23.2,1:18:24,19,1,11.2
3-Feb,90.4,78.4,1:50:34,20,1,12
3-Feb,90,56,3:32:06,54,1,34
4-Feb,89.6,63.2,3:07:58,31,1,26.4
7-Feb,86.4,60.8,3:09:58,30,1,25.6
7-Feb,89.6,63.6,3:59:13,42,1,26
7-Feb,63.6,36.4,2:05:38,47,1,27.2
8-Feb,90.4,60.4,3:23:02,37,1,30
8-Feb,88,62.8,2:46:51,35,1,25.2
8-Feb,90.4,63.6,3:07:58,42,1,26.8
9-Feb,60,56,0:37:16,9,1,4
9-Feb,92,78.8,2:03:38,21,1,13.2
9-Feb,90,68,3:03:57,33,1,22
9-Feb,90,80,1:26:27,20,1,10
10-Feb,90,68.4,2:43:51,34,1,21.6
10-Feb,66.8,26.8,4:17:19,72,1,40
11-Feb,90.4,56.8,3:50:10,65,1,33.6
14-Feb,91.2,61.6,3:24:03,30,1,29.6
14-Feb,90.4,67.2,2:42:50,36,1,23.2
15-Feb,85.6,59.6,3:17:00,29,1,26
15-Feb,87.6,73.2,2:26:45,19,1,14.4
16-Feb,91.6,69.6,3:10:59,45,1,22
17-Feb,64,54,1:58:36,20,1,10
17-Feb,90,68.4,2:46:51,33,1,21.6
21-Feb,90,64.8,3:23:03,30,1,25.2
21-Feb,86,72.4,3:06:57,27,1,13.6
21-Feb,72.4,71.2,0:10:03,6,1,1.2
21-Feb,71.2,58,2:34:47,27,1,13.2
21-Feb,57.2,50.4,1:07:20,12,1,6.8
22-Feb,88.8,60.4,3:58:13,46,1,28.4
22-Feb,60,44.8,1:30:28,35,1,15.2
23-Feb,85.2,57.6,3:03:57,51,1,27.6
23-Feb,57.6,48.4,0:52:16,14,1,9.2
23-Feb,87.6,47.2,5:46:47,48,1,40.4
25-Feb,88.8,52.4,3:30:05,57,1,36.4
28-Feb,90.4,65.6,3:16:00,38,1,24.8
28-Feb,64,56.4,0:58:18,9,1,7.6
28-Feb,56,50.8,0:44:14,9,1,5.2
28-Feb,50.8,45.6,0:43:13,10,1,5.2
28-Feb,45.6,37.6,1:05:19,13,1,8
2-Feb,88.8,74.4,2:02:38,20,1,14.4
2-Feb,90,64,3:20:01,44,1,26
2-Feb,62.4,46.8,1:19:24,29,1,15.6
2-Feb,46.8,44,0:22:08,5,1,2.8
3-Feb,88.8,84.8,0:28:08,5,1,4
3-Feb,84.8,67.6,2:26:46,24,1,17.2
3-Feb,67.2,63.6,0:20:07,4,1,3.6
3-Feb,90,59.2,3:17:00,48,1,30.8
3-Feb,56.4,36.8,1:33:29,34,1,19.6
4-Feb,90,83.2,0:49:15,9,1,6.8
7-Feb,83.2,78.4,0:42:15,5,1,4.8
9-Feb,89.6,64.8,3:16:00,30,1,24.8
9-Feb,89.6,76,2:27:47,21,1,13.6
9-Feb,74.8,57.6,1:46:32,38,1,17.2
10-Feb,91.2,45.6,5:54:49,81,1,45.6
11-Feb,89.2,62.4,3:49:10,30,1,26.8
14-Feb,91.2,59.2,3:18:00,49,1,32
14-Feb,55.2,32.8,1:39:31,31,1,22.4
15-Feb,88,64.4,1:54:35,38,1,23.6
15-Feb,64.4,45.2,2:04:38,27,1,19.2
16-Feb,88.8,61.6,3:21:02,31,1,27.2
16-Feb,61.2,52.4,0:56:17,11,1,8.8
16-Feb,52.4,45.2,0:44:14,8,1,7.2
16-Feb,45.2,38.8,0:43:13,8,1,6.4
16-Feb,38.8,30.8,1:05:19,15,1,8
17-Feb,88,65.2,3:23:03,34,1,22.8
18-Feb,88,49.6,3:59:14,67,1,38.4
21-Feb,89.2,68.4,2:00:36,38,1,20.8
21-Feb,67.6,55.2,1:40:31,28,1,12.4
21-Feb,87.6,78,2:12:40,24,1,9.6
21-Feb,78,64,1:33:28,32,1,14
22-Feb,90.8,81.2,1:20:24,14,1,9.6
22-Feb,79.6,69.2,1:38:30,15,1,10.4
22-Feb,68,60.8,0:55:17,13,1,7.2
22-Feb,60.4,53.2,0:42:10,9,1,7.2
22-Feb,53.2,47.6,0:50:15,9,1,5.6
22-Feb,47.6,38.4,1:02:19,15,1,9.2
23-Feb,90.8,78.4,1:28:27,17,1,12.4
23-Feb,78,64,1:39:30,18,1,14
23-Feb,89.2,59.2,3:22:01,47,1,30
23-Feb,56.8,36.8,1:30:28,35,1,20
24-Feb,89.6,74.4,1:31:28,25,1,15.2
24-Feb,73.6,61.6,1:29:27,22,1,12
24-Feb,59.6,40,1:32:28,33,1,19.6
25-Feb,89.2,78.4,1:22:26,16,1,10.8
25-Feb,77.6,64,1:35:30,19,1,13.6
25-Feb,89.2,73.2,1:30:27,26,1,16
25-Feb,72.4,59.2,1:30:28,21,1,13.2
25-Feb,56,35.6,1:36:29,35,1,20.4
28-Feb,89.6,53.2,3:52:12,65,1,36.4
28-Feb,86.4,61.6,3:00:56,44,1,24.8
14-Feb,78.8,73.2,0:25:10,11,1,5.6
1-Jul,78.4,62.8,3:35:12,38,0,15.6
1-Jul,77.6,55.2,3:41:14,35,0,22.4
6-Jul,77.6,58,3:38:14,58,0,19.6
6-Jul,79.2,60.4,2:21:52,59,0,18.8
7-Jul,78.8,58.8,3:25:10,56,0,20
7-Jul,78,72.4,1:08:22,12,0,5.6
7-Jul,72,66.4,1:11:23,13,0,5.6
8-Jul,89.2,28.8,8:56:58,120,0,60.4
12-Jul,74.8,59.6,3:37:13,41.79,0,15.2
12-Jul,78.8,56.4,4:32:13,35.81,0,22.4
13-Jul,78.8,61.2,2:24:50,59.34,0,17.6
